circle_type,total_revenue,operating_cost,classes_60plus,classes_42_59,classes_below_42,individual_signups,public_class_revenue,avg_revenue_per_class,substitute_days,new_cards,renewal_cards,active_members,source_persons,converter_persons,project_count,project_revenue,project_profit,project_source_persons,project_lead_persons,project_conversion_persons,project_pm_persons
华南,,,,,,,,,,,,,,,,,,,,,
华东,,,,,,,,,,,,,,,,,,,,,
华北,,,,,,,,,,,,,,,,,,,,,
KA,,,,,,,,,,,,,,,,,,,,,
