门店编号,门店名称,所属企业,开店时间,当前状态,地址,备注
兰A,兰湘子A店,兰湘子,2024-01-15,运营期,,
兰B,兰湘子B店,兰湘子,2024-02-01,运营期,,
兰C,兰湘子C店,兰湘子,2024-03-01,开店期,,
三A,三出山A店,三出山,2024-01-20,运营期,,
三B,三出山B店,三出山,2024-02-15,运营期,,
崎A,崎本西安赛格店,崎本,2024-01-01,运营期,西安赛格,
