月份,经营单元-华东区,华东区（公开课）,商学课,团队课,方案班,华东区（咨询内训）
1月,208.7,62.3,23.1,39.2,0.0,146.4
2月,218.0,110.0,71.5,38.5,0.0,108.0
3月,507.5,363.5,224.5,139.0,0.0,144.0
4月,597.9,232.6,125.5,87.5,0.0,365.3
5月,406.7,152.6,72.8,79.8,0.0,254.1
6月,313.9,185.2,107.0,78.2,0.0,128.7
总计,2252.7,1106.2,624.4,462.2,0.0,1146.5
平均值,375.45,184.36666666666667,104.06666666666666,77.03333333333333,0.0,191.08333333333334
