月份,经营单元-华南区,华南区（公开课）,商学课,团队课,方案班,华南区（咨询内训）
1月,774.6,75.8,26.5,49.3,0.0,698.8
2月,329.7,122.6,113.9,0.0,8.7,207.1
3月,759.5,453.3,269.2,163.8,20.3,306.2
4月,795.7,224.8,100.4,124.5,0.0,570.8
5月,776.3,303.2,167.0,118.3,18.0,473.1
6月,791.4,244.3,213.4,31.0,0.0,547.1
总计,4227.2,1424.0,890.4,486.90000000000003,47.0,2803.1
平均值,704.5333333333333,237.33333333333334,148.4,81.15,7.833333333333333,467.18333333333334
