月份,经营单元-华北区,华北区（公开课）,商学课,团队课,方案班,华北区（咨询内训）
1月,13.5,0.0,0.0,0.0,0.0,13.5
2月,25.6,0.0,0.0,0.0,0.0,25.6
3月,40.8,19.9,0.0,0.0,0.0,20.9
4月,90.7,58.9,0.0,0.0,0.0,31.8
5月,23.6,13.2,0.0,0.0,0.0,10.4
6月,37.7,19.7,0.0,0.0,0.0,18.0
总计,231.90000000000003,111.7,0.0,0.0,0.0,120.2
平均值,38.650000000000006,18.616666666666667,0.0,0.0,0.0,20.033333333333335
