开课日期,课程,期号,城市,导师,上课人数,上课企业数
2020/7/4,科学分钱,31,上海,卞志汉,50,39
2020/7/11,动态股权设计,93,上海,何德文,46,37
2020/7/17,流程型组织,38,上海,蒋伟良,81,41
2020/8/1,税务科学筹划,42,上海,叶建平,41,36
2020/8/8,供应链再造,23,上海,姜宏锋,46,30
2020/8/14,流程型组织,40,上海,蒋伟良,66,30
2020/8/15,品牌体验设计,25,上海,汪志谦,56,36
2020/8/22,业务管理者养成,6,上海,汤君健,48,33
2020/8/29,做实企业文化,51,上海,欧德张,52,35
2020/9/4,极简项目管理,15,上海,郭嘉,40,23
2020/9/5,科学分钱,33,上海,卞志汉,60,41
2020/9/11,流程型组织,42,上海,蒋伟良,73,28
2020/9/19,创始人财务进阶,19,上海,徐薇,46,34
2020/9/26,B2B销售业绩管理,1,上海,崔建中,59,34
2020/10/4,战略规划与落地,3,上海,蒋伟良,63,14
2020/10/13,动态股权设计,95,上海,何德文,42,30
2020/10/17,做实企业文化,53,上海,欧德张,50,28
2020/10/23,极简项目管理,17,上海,郭嘉,44,26
2020/10/31,领导力十项修炼,15,上海,刘澜,44,31
2020/11/7,品牌体验设计,28,上海,汪志谦,42,29
2020/11/13,流程型组织,47,上海,蒋伟良,68,33
2020/11/18,OGSM业务规划与执行,2,上海,袁园,60,32
2020/11/21,创始人财务进阶,21,上海,徐薇,32,23
2020/11/21,税务科学筹划,45,杭州,叶建平,50,34
2020/11/27,流程型组织,48,南京,蒋伟良,37,14
2020/11/28,供应链再造,28,上海,姜宏锋,39,22
2020/12/11,极简项目管理,18,上海,郭嘉,32,21
2020/12/12,教练式领导力,32,上海,季益祥,46,26
2020/12/19,动态股权设计,97,上海,何德文,37,29
2020/12/19,科学分钱,39,上海,卞志汉,53,37
2020/12/26,业务管理者养成,10,上海,汤君健,59,37
2021/1/9,B2B销售业绩管理,2,上海,崔建中,50,25
2021/1/15,流程型组织,52,上海,蒋伟良,96,20
2021/1/23,B2B策略销售,1,上海,崔建中,36,27
2021/2/24,OGSM业务规划与执行,8,上海,袁园,78,49
2021/2/27,科学分钱,41,上海,卞志汉,84,56
2021/3/5,教练式领导力,33,上海,季益祥,38,23
2021/3/9,品牌体验设计,30,上海,汪志谦,65,38
2021/3/12,业务领先战略,9,上海,汪瀛,62,40
2021/3/18,品类战略,1,上海,李亮,71,50
2021/3/20,B2B策略销售,3,上海,崔建中,74,40
2021/3/20,税务科学筹划,46,上海,叶建平,37,34
